Avg Train Loss,Avg Dev Loss,Train Accurancy,Dev Accurancy
0.3758103832767125,0.30517886641041125,0.89152,0.9131
0.3096451035580698,0.28139747677053634,0.91192,0.9197
0.29770651490315303,0.2766622529243541,0.91486,0.9212
0.29062456755533966,0.27615594529534604,0.91882,0.9241
0.284634377969595,0.27215390783591825,0.91986,0.9254
0.2826619009273743,0.27888094407961245,0.92078,0.9225
0.2798888366225141,0.2756915013923493,0.92104,0.9232
0.27684543026455843,0.2761233902870709,0.9226,0.9246
0.27515125603801227,0.28195788711286196,0.92232,0.922
0.2725693006730882,0.27496762620338855,0.92306,0.9249
0.27126707413549184,0.27804510867552173,0.9231,0.9233
0.27005403082135493,0.2697162249055389,0.92442,0.9276
0.26856542786855464,0.2704606713694637,0.92348,0.9286
0.26814149338767407,0.27493894073534336,0.92406,0.9256
0.26552900066254465,0.27895162640033067,0.92518,0.9227
0.2646474587248678,0.2768993551601546,0.92534,0.9254
0.26473172432985537,0.27742377286132563,0.9255,0.9223
0.2633653822767151,0.28070053210998397,0.9262,0.9242
0.2629798772414544,0.2786768156906327,0.92644,0.9231
0.26181055307946527,0.2751504986210373,0.92568,0.9238
0.2612963423215888,0.28997791120314426,0.92688,0.92
0.26127000319462407,0.2823167614967027,0.9257,0.9223
0.2603293581156819,0.27616607447813346,0.9269,0.9282
0.2601350274976161,0.2741334298912259,0.9276,0.9272
0.2586885310500689,0.27973470033447023,0.92704,0.9243
0.25870242239127583,0.2747801858854967,0.9264,0.9253
0.25825293513757874,0.2786766326402353,0.92754,0.9247
0.25702975547160073,0.27867607107469833,0.9272,0.9254
0.25719167794771175,0.2804042150407079,0.928,0.9225
0.2559944962363502,0.27778851380526126,0.92768,0.9257
0.255911406563028,0.27827577657414904,0.92742,0.9261
0.2558228034451484,0.2921193278327565,0.92836,0.9191
0.25524813779334254,0.2776861138222445,0.92794,0.9268
0.25390372197550193,0.27830254323026515,0.92954,0.9242
0.2549431165931976,0.28116995685146606,0.92824,0.9233
0.2536432288367904,0.2967392752853028,0.9286,0.9193
0.2532564113201337,0.2870592525788843,0.9285,0.9217
0.2534121952190238,0.27481764889585175,0.92956,0.9275
0.2533297238631383,0.27661145064806403,0.92864,0.9257
0.2531573205834704,0.2790671129995033,0.92886,0.9255
0.25226377111426684,0.29453489353586054,0.929,0.921
0.25202369017185394,0.2744499781725992,0.92834,0.9294
0.2524993762305357,0.2810590568455917,0.92872,0.9267
0.2517427908043404,0.2817462776440304,0.92974,0.9247
0.25163850596011655,0.2798327395253568,0.92836,0.9237
0.25049660147472785,0.28079454765980516,0.9296,0.9232
0.25140590522762063,0.2932688115943888,0.9291,0.921
0.25077201675748345,0.28330200427385643,0.92896,0.9252
0.2503013330127145,0.2838598533645093,0.92892,0.924
0.2504409534496847,0.29957038791359303,0.92882,0.9172
